endpoint,column_name,data_type,pretty_name,definition,is_required
v2/debt/tror/data_act_compliance,record_date,DATE,Record Date,The date that data was published.,TRUE
v2/debt/tror/data_act_compliance,agency_bureau_indicator,STRING,Agency Bureau Indicator,Distinguishes between Agency and Bureau.,FALSE
v2/debt/tror/data_act_compliance,agency_nm,STRING,Agency Name,"Indicates the Agency to which the Bureau belongs, if applicable.",FALSE
v2/debt/tror/data_act_compliance,bureau_nm,STRING,Bureau Name,The name of the Bureau for which compliance rate data is presented.,FALSE
v2/debt/tror/data_act_compliance,total_eligible_debt_amt,CURRENCY,Total Eligible Debt Amount,Dollar value of debt required to be referred to the Treasury Offset Program by the Agency or Bureau (Part 2 section B line 1 M (amount) as reported on the Treasury Report on Receivables).,TRUE
v2/debt/tror/data_act_compliance,total_eligible_debt_cnt,NUMBER,Total Eligible Debt Count,Number of debts required to be referred to the Treasury Offset Program by the Agency or Bureau (Part 2 section B line 1 M (number) as reported on the Treasury Report on Receivables).,TRUE
v2/debt/tror/data_act_compliance,eligible_debt_referred_amt,CURRENCY,Eligible Debt Referred Amount,Dollar value of debt referred directly to the Treasury Offset Program by the Agency or Bureau and debt referred to the Treasury Offset Program through Cross-Servicing (Part 2 section B line 1 N (amount) + Part 2 section B line 1 O (amount) as reported on the Treasury Report on Receivables).,TRUE
v2/debt/tror/data_act_compliance,eligible_debt_referred_cnt,NUMBER,Eligible Debt Referred Count,Number of debts referred directly to the Treasury Offset Program by the Agency or Bureau and debt referred to the Treasury Offset Program through Cross-Servicing (Part 2 section B line 1 N (number) + Part 2 section B line 1 O (number) as reported on the Treasury Report on Receivables).,TRUE
v2/debt/tror/data_act_compliance,eligible_debt_not_referred_amt,CURRENCY,Eligible Debt Not Referred Amount,Dollar value of debt required to be referred to the Treasury Offset Program by the Agency or Bureau that has not yet been referred (Part 2 section B line 1 P (amount) as reported on the Treasury Report on Receivables).,TRUE
v2/debt/tror/data_act_compliance,eligible_debt_not_referred_cnt,NUMBER,Eligible Debt Not Referred Count,Number of debts required to be referred to the Treasury Offset Program by the Agency or Bureau that has not yet been referred (Part 2 section B line 1 P (number) as reported on the Treasury Report on Receivables).,TRUE
v2/debt/tror/data_act_compliance,compliance_rate_amt,PERCENTAGE,Compliance Rate Amount,The dollar value of debt referred directly to the Treasury Offset Program by the Agency or Bureau and the debt referred to the Treasury Offset Program through Cross-Servicing for the Agency or Bureau divided by the dollar value of debt required to be referred to the Treasury Offset Program by the Agency or Bureau. (CALCULATION: Part 2 section B line 1 N (amount) + Part 2 section B line 1 O (amount)  /  Part 2 section B line 1 M (amount)).                                                                  ,TRUE
v2/debt/tror/data_act_compliance,compliance_rate_cnt,PERCENTAGE,Compliance Rate Count,The number of debts referred directly to the Treasury Offset Program by the Agency or Bureau and the number of debts referred to the Treasury Offset Program through Cross-Servicing for the Agency or Bureau divided by the number of debts required to be referred to the Treasury Offset Program by the Agency or Bureau. (CALCULATION: Part 2 section B line 1 N (number) + Part 2 section B line 1 O (number)  /  Part 2 section B line 1 M (number)).                                                                  ,TRUE
v2/debt/tror/data_act_compliance,cfo_agency_indicator,STRING,CFO Agency Indicator,Indicates if the Agency is a CFO Agency.,FALSE
v2/debt/tror/data_act_compliance,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date. The federal government's fiscal year runs from October 1 to September 30.,TRUE
v2/debt/tror/data_act_compliance,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date. For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
v2/debt/tror/data_act_compliance,record_calendar_year,YEAR,Calendar Year,The calendar year associated with record_date.,TRUE
v2/debt/tror/data_act_compliance,record_calendar_quarter,QUARTER,Calendar Quarter Number,The calendar quarter associated with record_date.,TRUE
v2/debt/tror/data_act_compliance,record_calendar_month,MONTH,Calendar Month Number,The calendar month associated with record_date.,TRUE
v2/debt/tror/data_act_compliance,record_calendar_day,DAY,Calendar Day Number,The calendar day associated with record_date.,TRUE
v2/accounting/od/debt_to_penny,record_date,DATE,Record Date,The date that data was published.,TRUE
v2/accounting/od/debt_to_penny,debt_held_public_amt,CURRENCY,Debt Held by the Public,"All federal debt held by individuals, corporations, state or local governments, Federal Reserve Banks, foreign governments, and other entities outside the United States Government less Federal Financing Bank (FFB) securities. Debt held by the public is composed of Treasury Bills, Notes, Bonds, Treasury Inflation-Protected Securities (TIPS), Floating Rate Notes (FRNs), Domestic Series, Foreign Series, State and Local Government Series (SLGS), United States Savings Securities, and a portion of Government Account Series (GAS) securities.",TRUE
v2/accounting/od/debt_to_penny,intragov_hold_amt,CURRENCY,Intragovernmental Holdings,"Government Account Series (GAS) securities held by Government trust funds, revolving funds, and special funds; and Federal Financing Bank (FFB) securities.",TRUE
v2/accounting/od/debt_to_penny,tot_pub_debt_out_amt,CURRENCY,Total Public Debt Outstanding,Total of intragovernmental holdings and debt held by the public.,TRUE
v2/accounting/od/debt_to_penny,src_line_nbr,NUMBER,Source Line Number,Indicates the row of the corresponding table where a data point can be found.  This can assist in structuring the data in a similar format to the published report and in understanding potential hierarchies within the table.,TRUE
v2/accounting/od/debt_to_penny,record_fiscal_year,YEAR,Fiscal Year,The fiscal year associated with record_date.  The federal government's fiscal year runs from October 1 to September 30.,TRUE
v2/accounting/od/debt_to_penny,record_fiscal_quarter,QUARTER,Fiscal Quarter Number,"The fiscal quarter associated with record_date.  For the federal government these quarters are: Q1 - October to December, Q2 - January to March, Q3 - April to June, Q4 - July to September.",TRUE
